epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,238.57,0.61699,0.90385,0.46787,0.00568,0.26764,0.98789,0.99477,0.99488,0.86078,0.98789,0.99477,0.99488,0.86125,0.60143,0.97088,0.20434,0.01012,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,245.484,0.61018,0.93145,0.47482,0.00553,0.28011,0.97396,1,0.9944,0.86782,0.97396,1,0.9944,0.86175,0.59673,0.96599,0.19391,0.01008,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,252.428,0.58411,0.91947,0.45612,0.00534,0.27363,1,0.9739,0.99418,0.86126,1,0.9739,0.99418,0.8732,0.60091,0.95034,0.20728,0.01009,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,259.365,0.58641,0.93169,0.42123,0.00526,0.26333,1,0.99836,0.995,0.84028,1,0.99836,0.995,0.85446,0.69019,0.98994,0.20608,0.01158,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,265.965,0.61454,0.9155,0.4707,0.0055,0.26024,0.99925,0.9878,0.99488,0.86095,0.99925,0.9878,0.99488,0.87163,0.60259,0.90769,0.1917,0.01005,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,272.767,0.54548,0.88636,0.40186,0.00498,0.2336,0.9759,0.98755,0.99391,0.86074,0.9759,0.98755,0.99391,0.86299,0.58804,0.94514,0.19925,0.00984,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,279.715,0.55859,0.87179,0.38769,0.00531,0.25246,0.97421,1,0.99379,0.85957,0.97421,1,0.99379,0.85116,0.58959,1.00224,0.19877,0.00994,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,286.398,0.5721,0.94636,0.41543,0.00516,0.26553,1,0.98526,0.99476,0.86581,1,0.98526,0.99476,0.86259,0.59049,0.94938,0.18263,0.00994,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,293.455,0.58541,0.88615,0.39238,0.00551,0.26309,0.99788,1,0.995,0.85942,0.99788,1,0.995,0.86574,0.60886,0.9336,0.19291,0.01007,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,300.26,0.56099,0.84591,0.36876,0.00502,0.23496,0.97586,0.98598,0.99395,0.86161,0.97586,0.98598,0.99395,0.86829,0.60362,0.93794,0.21516,0.0101,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,307.003,0.56852,0.8559,0.38327,0.00521,0.25357,1,0.99937,0.995,0.86071,1,0.99937,0.995,0.86691,0.59323,0.92454,0.17975,0.00994,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,313.818,0.56977,0.91129,0.39938,0.00516,0.25267,0.98795,0.99951,0.99464,0.86836,0.98795,0.99951,0.99464,0.87219,0.6077,0.92901,0.18875,0.01013,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,320.582,0.54947,0.8723,0.37001,0.00503,0.25375,0.98762,0.97325,0.99417,0.86739,0.98762,0.97325,0.99417,0.86738,0.62459,0.97536,0.21743,0.01045,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,327.119,0.54141,0.88282,0.3797,0.00496,0.24274,0.98789,0.99498,0.99476,0.86262,0.98789,0.99498,0.99476,0.87298,0.6239,0.94201,0.19531,0.01041,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,333.781,0.52895,0.85513,0.34733,0.00492,0.22977,0.99896,1,0.995,0.86134,0.99896,1,0.995,0.86854,0.60744,0.945,0.18421,0.01011,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
